,0
0,이
4,있
5,하
6,것
7,들
9,그
11,되
12,수
13,보
14,않
15,없
16,나
20,사람
21,주
22,아니
23,등
24,같
25,우리
28,때
29,년
30,가
31,한
32,지
33,대하
34,오
36,말
38,일
44,그렇
45,위하
46,때문
47,그것
48,두
49,말하
50,알
51,그러나
53,받
54,못하
55,그런
56,또
57,문제
58,더
59,사회
60,많
61,그리고
63,좋
64,크
65,따르
66,중
67,나오
68,가지
69,씨
70,시키
71,만들
72,지금
73,생각하
74,그러
75,속
76,하나
78,집
79,살
80,모르
81,적
82,월
83,데
84,자신
85,안
86,어떤
87,내
89,경우
90,명
91,생각
92,시간
93,그녀
94,다시
95,이런
96,앞
97,보이
98,번
99,다른
101,어떻
102,여자
103,개
104,전
105,사실
106,이렇
107,점
108,싶
109,정도
110,좀
112,원
113,잘
114,통하
115,소리
116,놓
117,아
118,휴
120,아이구
121,아이쿠
122,아이고
123,어
124,저희
126,따라
128,의해
130,을
131,를
132,에
133,의
134,으로
135,로
136,에게
137,뿐이다
139,의거하여
141,근거하여
143,입각하여
144,기준으로
145,예하면
147,예를 들면
148,예를 들자면
149,저
150,소인
151,소생
152,지말고
153,하지마
154,하지마라
155,물론
156,또한
158,비길수 없다
159,해서는 안된다
160,뿐만 아니라
161,만이 아니다
162,만은 아니다
163,막론하고
164,관계없이
165,그치지 않다
166,그런데
167,하지만
170,든간에
171,논하지 않다
172,따지지 않다
173,설사
174,비록
175,더라도
176,아니면
178,만 못하다
179,하는 편이 낫다
181,불문하고
182,향하여
183,향해서
184,향하다
185,쪽으로
186,틈타
187,이용하여
188,타다
189,오르다
190,제외하고
191,이 외에
192,이 밖에
193,하여야
194,비로소
195,한다면 몰라도
196,외에도
197,이곳
198,여기
200,부터
201,기점으로
202,따라서
203,할 생각이다
204,하려고하다
206,이리하여
208,그리하여
210,그렇게 함으로써
211,일때
212,할때
213,앞에서
214,중에서
215,보는데서
216,으로써
217,로써
219,까지
221,해야한다
223,일것이다
225,반드시
226,할줄알다
227,할수있다
228,할수있어
229,임에 틀림없다
230,한다면
231,등등
232,제
233,겨우
234,단지
236,다만
237,할뿐
238,딩동
239,댕그
240,대해서
241,대하여
243,대하면
244,훨씬
245,얼마나
246,얼마만큼
247,얼마큼
248,남짓
249,여
250,얼마간
251,약간
252,다소
253,조금
254,다수
255,몇
257,얼마
258,지만
259,하물며
262,그렇지만
264,이외에도
265,대해 말하자면
266,다음에
268,반대로
270,반대로 말하자면
271,이와 반대로
272,바꾸어서 말하면
273,바꾸어서 한다면
274,만약
276,그렇지않으면
277,까악
278,툭
279,딱
280,삐걱거리다
281,보드득
282,비걱거리다
283,꽈당
284,응당
285,에 가서
286,각
287,각각
288,여러분
290,각종
291,각자
292,제각기
293,하도록하다
294,와
296,과
297,그러므로
299,그래서
301,고로
302,한 까닭에
303,하기 때문에
304,거니와
305,이지만
306,관하여
307,관한
308,과연
309,실로
310,아니나다를가
311,생각한대로
312,진짜로
313,한적이있다
314,하곤하였다
315,하하
316,허허
317,아하
319,거바
320,왜
321,어째서
323,무엇때문에
325,어찌
327,하겠는가
328,무슨
330,어디
332,어느곳
333,더군다나
334,더욱이는
335,어느때
336,언제
337,야
338,이봐
339,어이
340,여보시오
341,흐흐
343,흥
344,헉헉
345,헐떡헐떡
346,영차
347,여차
348,어기여차
349,끙끙
350,아야
352,앗
353,콸콸
354,졸졸
355,좍좍
356,뚝뚝
357,주룩주룩
358,솨
359,우르르
360,그래도
361,바꾸어말하면
362,바꾸어말하자면
363,혹은
364,혹시
365,답다
366,및
367,그에 따르는
368,때가 되어
369,즉
371,지든지
373,설령
374,가령
375,하더라도
376,할지라도
378,일지라도
379,거의
380,하마터면
381,인젠
382,이젠
383,된바에야
384,된이상
385,만큼	어찌됏든
386,그위에
387,게다가
389,점에서 보아
390,비추어 보아
391,고려하면
392,하게될것이다
393,비교적
394,보다더
395,비하면
396,시키다
397,하게하다
398,할만하다
399,의해서
400,연이서
401,이어서
402,잇따라
403,뒤따라
404,뒤이어
405,결국
406,의지하여
407,기대여
408,통하여
409,자마자
410,더욱더
411,불구하고
412,얼마든지
413,마음대로
414,주저하지 않고
415,곧
416,즉시
417,바로
418,당장
419,하자마자
420,밖에 안된다
421,하면된다
422,그래
424,그렇지
425,요컨대
426,다시 말하자면
427,바꿔 말하면
428,구체적으로
429,말하자면
430,시작하여
431,시초에
432,이상
433,허
434,헉
435,허걱
436,바와같이
437,해도좋다
438,해도된다
439,더구나
440,와르르
441,팍
442,퍽
443,펄렁
444,동안
446,이래
447,하고있었다
448,이었다
449,에서
450,로부터
451,했어요
453,해요
454,함께
455,같이
456,더불어
457,마저
458,마저도
459,양자
460,모두
461,습니다
462,가까스로
463,즈음하여
464,다른 방면으로
465,해봐요
466,습니까
467,말할것도 없고
468,무릎쓰고
469,개의치않고
470,하는것만 못하다
471,하는것이 낫다
472,매
473,매번
474,모
475,어느것
478,어느
480,갖고말하자면
481,어느쪽
482,어느해
483,어느 년도
484,라 해도
485,언젠가
486,어떤것
488,저기
489,저쪽
490,저것
491,그때
493,그럼
494,그러면
495,요만한걸
496,저것만큼
497,그저
498,이르기까지
500,할 줄 안다
501,할 힘이 있다
502,너
504,너희
506,당신
507,설마
508,차라리
510,할지언정
512,할망정
513,구토하다
514,게우다
515,토하다
516,메쓰겁다
517,옆사람
518,퉤
519,쳇
520,힘입어
521,다음
522,버금
523,두번째로
524,기타
525,첫번째로
526,나머지는
527,그중에서
528,견지에서
529,형식으로 쓰여
530,입장에서
531,위해서
532,의해되다
533,하도록시키다
534,뿐만아니라
535,전후
536,전자
537,앞의것
538,잠시
539,잠깐
540,하면서
541,그러한즉
542,그런즉
543,남들
544,아무거나
545,어찌하든지
546,같다
547,비슷하다
548,예컨대
549,이럴정도로
550,어떻게
552,만일
553,위에서 서술한바와같이
554,인 듯하다
555,하지 않는다면
556,만약에
557,무엇
558,아래윗
559,조차
560,한데
561,그럼에도 불구하고
562,여전히
563,심지어
564,까지도
565,조차도
566,하지 않도록
568,않기 위하여
569,시각
570,무렵
571,어때
573,어떠한
574,하여금
575,네
576,예
577,우선
578,누구
579,누가 알겠는가
580,아무도
581,줄은모른다
582,줄은 몰랏다
583,하는 김에
584,겸사겸사
585,하는바
586,그런 까닭에
588,한 이유는
589,그러니
590,그러니까
591,때문에
592,그들
593,너희들
594,타인
595,것들
596,위하여
597,공동으로
598,동시에
599,하기 위하여
600,어찌하여
601,붕붕
602,윙윙
604,엉엉
605,휘익
606,오호
607,어쨋든
608,만 못하다	하기보다는
609,놀라다
610,상대적으로 말하자면
611,마치
612,아니라면
613,쉿
614,그렇지 않으면
615,그렇지 않다면
616,안 그러면
617,아니었다면
618,하든지
619,이라면
620,좋아
621,알았어
622,하는것도
623,그만이다
625,어쩔수 없다
626,일반적으로
627,일단
628,한켠으로는
629,오자마자
630,이렇게되면
631,이와같다면
632,전부
633,한마디
634,한항목
635,근거로
636,하기에
637,아울러
638,않기 위해서
639,이 되다
640,로 인하여
641,까닭으로
642,이유만으로
643,이로 인하여
644,이 때문에
645,알 수 있다
646,결론을 낼 수 있다
647,으로 인하여
648,있다
649,관계가 있다
650,관련이 있다
651,연관되다
652,어떤것들
653,에 대해
654,여부
655,하기보다는
656,하느니
657,하면 할수록
658,운운
659,이러이러하다
660,하구나
661,하도다
662,다시말하면
663,다음으로
664,에 있다
665,에 달려 있다
666,우리들
667,오히려
668,하기는한데
669,어떻해
670,어찌됏어
671,본대로
672,자
673,이쪽
674,이것
675,이번
676,이렇게말하자면
677,이러한
678,이와 같은
679,요만큼
680,요만한 것
681,얼마 안 되는 것
682,이만큼
683,이 정도의
684,이렇게 많은 것
685,이와 같다
686,이때
687,이렇구나
688,것과 같이
689,끼익
690,삐걱
691,따위
692,와 같은 사람들
693,부류의 사람들
694,왜냐하면
695,중의하나
696,오직
697,오로지
698,에 한하다
699,하기만 하면
700,도착하다
701,까지 미치다
702,도달하다
703,정도에 이르다
704,할 지경이다
705,결과에 이르다
706,관해서는
707,하고 있다
708,한 후
709,혼자
710,자기
711,자기집
712,우에 종합한것과같이
713,총적으로 보면
714,총적으로 말하면
715,총적으로
716,대로 하다
717,으로서
718,참
719,할 따름이다
720,쿵
721,탕탕
722,쾅쾅
723,둥둥
724,봐
725,봐라
726,아이야
727,와아
728,응
729,아이
730,참나
731,령
733,영
735,삼
736,사
737,육
738,륙
739,칠
740,팔
741,구
742,이천육
743,이천칠
744,이천팔
745,이천구
746,둘
747,셋
748,넷
749,다섯
750,여섯
751,일곱
752,여덟
753,아홉
