comments,label
이런글 진짜 안궁금합니다,0
이미 대놓고 수많은 사람들과 몸섞은 힐튼이 결혼후라고 달라지지는 않을텐데~남자는 돈 노리나~~,1
어우 남자가 맹인인갑다,1
낸시랭 생각나내,0
결혼해야지... 또래들은 벌써 애키우고 있는데,0
오랜만에 힐튼비디오나 봐야겠다 ㅋㅋ,0
정말 밤일 하나는 잘하던데.,0
나 같아도 힐튼이랑 결혼한다 야 솔까 왠만한 김치녀보다 만배는 낫지 않냐?????,1
그래 저런짓은 하면 안되지 청혼할 때 남자가 왜 여자에게 무릎꿇냐 이건 남녀평등에 위배된다 안그래 패리스 힐튼보다 가성비 마니 떨어지는 한녀들아 ?????,2
창녀들은 꼭 남편될 사람에게 자신이 과거를 밝힌다 결혼해서 성깔나와서 이혼당하지 말고,1
힐튼이 입은 스키복 진짜 너무너무 예쁨,0
2년 내에 이혼한다에 내 꼬추 건다,1
힐튼이야 외모도 그럭저럭 되고 돈이나 많지 쿵쾅이들은 대체 사는 이유 무엇?,2
곧 또 이혼하겠지,1
걸레도 이런 걸레가 없다,1
서양남자들이 반지주면서 무릎꿇는거 원조임. 프러포즈 단어도 한국에없던단어지요. 다 양남따라해서 이정도된것임. 갓양남들이 역시 더치한단소리는 외국루저들의 주장일뿐이었다.,1
부모 잘 만난 덕에 상또라이짓해도 모든게 용서되는 년.....종교의 모순점을 극명하게 드러내준 개인...,2
쟤 보나마나 한달인가 두달 쯤 있다가 파혼한다.,1
네이버 댓글은 메갈이 점령해버렸네,1
저 듣보 배우 인생 폈네.. 좀만 살다 이혼해도 위자료가 얼마야ㅋ,1
힐튼이 더 좋아하네ᆢ 그리 미남두 아닌데ᆢ,0
"4살 차이가 궁합도 좋고 다 무난한듯요, 살아보니.",0
2년가면 많이 간다.,1
어차피 몇일 안가서 결별하겄지..한두번이냐,1
몇일 가려나? 혼인관계가?,1
3년안에 이혼뜬다 올린,0
몇년 갈까? 진심 궁금함,0
짧게 살다가 남남되겠지,0
패리스 힐튼 진짜 안 늙네;;;,0
언니 결혼하시는 거에요?? 축하해요!!!,0
다이아수저 물고 태어나면 어떤 기분일까,1
그나저나 한결같은 힐튼패션...,0
키185에 잘생긴 훈남이 최고지. 지나가다 그냥 윙크만해도 여자들 알아서 다넘어감,0
과연 몇 번을 헤어지고몇 번을 만날 지가 더 궁금하네~,1
"스키복 예쁘네요, 축하해요",0
남자가 봉 잡았네 여자나 남자나 늙으면 지는 거ㆍ힐튼인들 별수 있니 돈이나 열심히 대줘라 이혼은 저 남자가 신청할 듯,2
배우처럼 잘하더만 ㅋ 스킬쩔던데 키키,2
나도 남자지만 남자들 댓글은 일차원적이고 참 더러워 머리에 든게 섹스밖에 없냐 개한심하다,2
돈많으니 어린남자랑결혼하네 저게 진짜 미스골드녀지 ㄹㅇ 나이들고 결혼못하는건 그냥 노처녀,2
이혼소식 기다립니다.. 몇달 후일까요? 몇년 후 일까요?,1
"패리스힐튼=김준희, 돈많고 와꾸도 되고 몸매도 착해 어린애들 데리고 놀 능력은 되나 결국은 깨짐!",
그리고 3일뒤이혼,1
다음달은 이혼 발표인가..,1
미래에서 왔습니다...1년 못살고 진흙탕 싸움...,1
패리스힐튼 문제로 이혼하면 저 남자는 위자료 챙기고 개꿀이지.,1
남자가 사람잘패게 생겼던데?,2
곧 이혼도 하겠지.,1
댓글이 남자가 더 많다는건 (그것도 30대 남성 ㅋㅋ)= 능력 없어서 장가 못가고 있는 한남들 ㅠ 불쌍 한심 애처로움,1
남자들도 돈많으면 쿵쾅이들 쳐다도안봐^^아 맞다 돈없어도 안본다 ^^,2
개노잼,1
맛도 없어보이는 김밥 라면이 만원ㅋㅋ야 거기에 삼겹살이라도 들어갔냐?돈까스는 2만원ㅋㅋ빕스도 그것보단 싸겠다ㅋ서민들 기죽이는 프로그램일세ㅡ.ㅡ당장 폐지해라,2
근데 솔직히 재밋진 않앗다 볼만 햇지만...,0
대체 언제적 강호동이야 강호동 이수근은 1박2일 이후로 퇴물 된지가 언젠데,1
아무리 그래도 이수근이 나오는건 무조건 안 봐.. 강호동도 똑같은 놈이고...,2
어떻게 내가 싫어하는 사람들을 이렇게 조합해놓지 ㅠㅠ,1
자영업자들 탈세나 하지마라 과포화인걸 정부탓 최저임금이 무슨 자영업유지 시킬려고 존재하는 제도인줄아는 무뇌들,2
강호동 좀 질린다 질려,2
강호동은드럽게 음식하면서 왜케떠드냐침이다들어카안재현만죽어라설거지에 이것저것하는데강호동 시끄리듣기싫다,2
억대 출연료받는늠들이 지라ㄹ을한다 지랄을~ 니들이 하루고생해서 10만원버는 서민들 맘을 알고 지랄을하는건지ㅉㅉ,2
군대 안가고 탈세 하는넘들 그만 내보내라....애들 교육상 안좋다,2
이윤이 남아야 장산데 강호동이 장사를 더럽게 못했음,2
영업시간을 생각해봐라 충분히 먹고 산다.,0
ㅋㅋㅋㅋ 죄인이 최저임금 만원 가즈아 ㅋㅋㅋ,1
머리나쁘네 쟤네 원가에 숙소비 포함이다제주도 펜션비 감안하고 다시 계산해보시길,1
10만원 벌어서 어디 기부도 못하고 뭣하러 그 난장판을 벌였냐,1
강호동 이수근 이승기 은지원 엠씨몽 김씨 이렇게 다시 모여서 강식당2 하면 재밌겠닼ㅋㅋ,0
영업신고와 사업자등록은 하고 했나요??사업자라면 부가세와 종소세 납부하고 오른 인건비까지 식당해서 정말 남는거 없어요.누구를 위한 식당인지 고민해 볼 필요가 있습니다.,1
자영업 10만원 수익이 현실이라고?ㅋ 준비없고 노력없는 하푼이들 현실겠지 ㅋㅋㅋㅋㅋ 주관적인 기사좀 그만써댔으면...아니면 적어도 이런쪽 글쓰려면 발품팔며 사전조사 몇곳만했어도 이딴 비전문적 무개념 거지같은 글 안쓴다 ㅡㅡ 사무실이 ㅊㅓ박혀 시간떼우다가 대충 한줄 끄적대도 월급나오자나 ㅋ,2
강호동은 뭔가 식상하다. 여기저기 나오는데 다 똑같음,2
"마지막회 까지 ""그쪽성별""이 손님석 다 싹쓸이 하네. 어제 씨름하는 초딩들빼고 성별분포도 그쪽성별이 80%이상 차지. 1회부터 5회까지 특히 2회는 그쪽성별이 100% 다 차지함. 남자는 그시간에 뭐함?? 아.. 그쪽성별 먹여살린다고 직장에서 일하고있지??",2
악덕강사장은 알아서 기레기들이 오버기사써주고!!!!!!!! 힘든소상공인들 힘내라!!!!!!!!,0
연예인들돈쉽게벌지?이게현실이다 또만들어 개고생좀해라그래도출연료는받겠지,1
근데 안재현은 자기 광고 하는거 너무 티나게 하더라,1
은지원 짜증 좀 내지마라 너 동료들이 너 눈치본다박근혜 조카야,2
흑자 10만원 좋아하시네... 최저임금 주고 나면 마이너스 천만원정도 되겠네...,1
서민들 삥뜯어서 좋냐? 흑자라고 좋다네? 저런거 사먹는 사람이 호구지.,1
돈까스 하나에 2만원이 넘는게 말이되냐?,1
"손익계산서상 흑자 10만원이라면, 그냥 망했다고 봐야지. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅋㅋㅋ",1
손님들을 번호표로 뽑아서 몇테이블만 받으니까 십만원밖에 못번거죠 진짜 매일 아침 강식당 들어가볼려고 근처에서 줄섰던 사람들 다들어갔으면 대박났을텐데 ㅋㅋ 물론 엄청 힘들었겠지만ㅋㅋ 그것 또한 재밌었을테고,0
장난치지말고 앞으로 이런 방송은 하지마라,1
이걸 먹을라고 문앞에서 추첨해서 들어가는 꼴이라니.......,1
뭔 5일 장사해서 10만원 남으면 왜하냐 알바비도 못주는데,1
돈까스 21000원이던데 개창렬,1
일단은 메뉴도 별로없는데 일하는 사람이 너무많음 실제 음식점이면 그정도 메뉴면 3명이면 돌아간다,1
"정확하게 말하면 적자입니다. 부가세, 종소세, 직원들 급여 계산않 했죠. 사대보험 계산않했죠. 수도요금, 전기요금. 가게 보증금, 5일간 세, 인테리어비, 뭐가 흑자인지..",1
다섯명이 하루만 노가다 해도 50만원 이상이네 헛짓 작작해라,1
애초에 남기려면 저렇게 장사 안하지 ㅋㅋ 자영업 어려운건 맞는데 현실을 보여준다는건 개소리. 아 그냥 어그로 끌고 싶은건 알겠음.,1
장사에 기본도 없는 사람들이 예능이라고 장사하는꼬라지 보고있자니 어이가없더라 적어도 기본은 해야지 조리하면서 모자도 안쓰고 마스크도 안쓴상태로 계속 말하고 한심하더라,1
제주산 돼지고기비싼대 수입산쓰면대지,1
시급 주면 뭐 없지.,1
어기면 감옥가는 최저임금도 계산안하는 PD랑 기자가 제정신인지... 흑자 10만원이 아니라 적자 수백에서 천만원 정도 될듯....,1
우리 이니가 최저임금 쳐올려서 망하는 자영업자는 더 늘고 물가 수직 상승할거야 갑자기 강대국이 됐다 물가 강대국,2
유재석에겐 미안하지만 강호동 최강자 1인 시대가 돌아왔음을 알리믄 축포다 강식당은,0
광고비로 벌엇자나,0
예능이니깐 흑자10만원 나왔다.한심한 인간들...,2
"최저시급 올린다? 이제 알바 안 쓸걸? 이미 대기업은 최저시급은 준다. 그런데 일반 음식점에서 그게 가능한가? 결론은 법적인 이해관계가 없는 사람들을 쓰게된다. 친척관계도 나중에는 고발할 가능성도~ 이건 뭐냐면 주인이나 알바나 다 똑같게 돈을 가져가는 구조로 만들고, 결국엔 무고용으로 가게할거다",1
자기들이야 돈 받으면서 촬영용으로 몇일하는거지만 이거하나 붙잡고있는 많은 사람들은 어이가 없네 6일에 감가상각 따져서 10만원 바로 문 닫아야하는거지 그러니 보여주기식 프로는 이제 그만 좀 합시다. 피눈물 납니다 정말.!!!,1
저렇게 운영해서 10만원이면 어떻게 먹고사냐? 현실성이 부족하다.그냥 예능으로 가라.,1
자들은 재료를 비싸게 사자나..소매상한테 사드만 그리고 고기는 제주흑돼지 이윤이 남을리가없다 ..딱보니 음식가격도 비싸드만,1
총평 - 이수근이 멱살잡고 하드캐리했다,0
먹방도 지겹고... 재미없어. 예전의 신서유기를 원한다...,0
윤식당 2나 빨리 해주셈,0
그 힘든 자영업을 문재인이 더 죽이네 ㅋㅋㅋㅋ,2
10만원 흑자라고 쓰지 마세요.거기서 일한 연예인들을 최저임금이라도 줬다면 적자죠.식당을 운영하는 사람으로 인건비와 재료에 대한 비용도 생각안하고 흑자라니 어처구니없네요더이상 이런식으로 기만하지 맙시다.,1
인건비 이런데도 올린다고?,1
자영업의 가장큰 어려운점은 카드 수수료인데 계산했나요?,0
"숙박비가 워낙 비싼데다 회전율이 워낙 낮고, 시간도 점심시간만 하다시피하니 어쩔수 없는듯... 숙박비만 아니었어도 흑자가 훨씬 컸을텐데 돈 벌자고 하는 일이 아니니까 저렇게 한거지",0
인건비 안빼도 저걸 흑자라고 말할수있냐 아직 세금 기타전기수도는 하나도 계산안하고 십만원남았다고하면 곤란하지,0
인당 2만원이라도 남은게 아니지. 가게 임대료 전기료 수도료 등등 제하면 현실에선 완전 마이너스라서 2만원씩 조차도 지급 못해주고 쫄딱 망해서 길바닥에 나앉아야 되는거지,2
남는장사? ㅋㅋㅋ 그럼 차려서 해봐 ㅋㅋ 노가다 공장 3D 직종들 보다 힘든게 식당이야~~ 연예인이니 장사가 저정도 된거지 ㅋㅋ,1
원래 요식업계가 마진빼려면 3년~5년은 해야지 투자금액 빠지는데 5일 운영했으니 저정도에서 끝난거지. 당연한걸 왜 자영업이 어떻다 ㅋㅋㅋㅋ,1
출연료가 얼만데 흑자냐,1
인건비=10만원+숙박비+식비 로 보는 게 옳습니다.,0
5일해서 350만원이면 한달하면 1천4백만원 1년하면 1억 6천 8백만원이다 도대체누가 적자라는거냐 이정도 매출올리는 식당이 많은줄아냐,1
임대료 전기.가스비 등등 감안하면 적자 아닌가요?,0
신서유기외전 수근식당 가즈아,0
나도먹어보고싶었는데.체인점생길라나?,0
이것도 흑자구나,0
"가게 5일 대여면 100-200만원 할거고, 직원이 4명이면 45만원*5 = 180만원대략 300만원 적자부터 깔고 시작이네요. 어떻게 10만원 이익인가요... 기사좀 똑바로 쓰세요.호락호락 하지 않아요.",1
개업하고 일주일도 안되서 흑자난거면 대박집인데...,0
출연료는 수천만원인가요,0
이수근 하드캐리했다 ㅎㅎㅎ,0
강식당 왕전 재밌어요 ㅋㅋㅋㅋ 규현 없는 아쉽네~ 나피디 강식당2 꼭 해야지... 2019년 빨리와,0
인거비 가게세 투자금 카드수수료 세금 저건 망한거지,1
연예인들이야 돈받으면서 하니 일주일에 10만원이면 흑자라고 하지만 우린 4주에 40만원 한달에 40이면 돈 안받고 한달에 가게 하면서 40으로 살아보소 피눈물 납니다. 제발 부탁인데 바람 좀 넣지 마소 노력안한다고 욕도마소 이러다 내 마지막은 가족들 눈물바다 됩니다.,1
잘봤습니다 강호동씨~,0
마지막은 일기냐? 시청 감상문이냐?,1
힐링과 웃음과 재미를 줬던 강식당,0
"우와,..평일 저정도면~~,,금방부자 되겠네요..ㅋ 연예인분들께서 하셔서..그렇게죠,,ㅋㅋ",0
노우....임대료등 유지비 계산 안했어요 그만큼 자영업이 힘들다는 거 알게 해준 내용이네요.,0
대놓고 정치선동하는 좌태호보다 은근슬쩍 현 정부 정책 비판하는 우영석이 낫다. 최저시급 정책 참 문제 많어,2
야 그렇게 계산할거면 가게 임대료 인테리어비등등 들어간건 왜 계산안하냐?ㅋㅋ,1
인권비는 빼고 흑자?? 그저웃지요 ㅎ,1
저안에 숙박비도 들어간거랑 첫날 0원 고려해야지,0
자영업이 얼마나 힘든지 알려줘서 고마워 ㅎㅎ. 저기에 직원월급 알바비 빼더라도... 임대료 전기료 수도요금 각종 세금 빼면 무조건 눈물나는 거지.,0
안배우 악플 신경쓰지 말아요~~~다~~~관심이에요~,0
강식당도 시즌제로 했으면 좋겠다 나중이 규현오면 투입하고ㅋㅋ,0
위너꽃청춘 깨알같이 잼나고 웃김 아이돌싫어하는사람들이야 머 안보면되고,0
방송이라 가격도 싸게 책정하고(400g에 2만원이면 싼편) 재료도 비싼거쓰니 당연히 마진이 안나오지 ㅋㅋㅋ,0
자영업은... 전부 수입산쓰고 msg범벅을 해주는데...,2
10만원이 과연 남는 돈일까~?세금(이게 젤 크지) 임대료 인건비 재료비 광고비 일반자영업자들이 들어가는건 임시로 하는거랑은 비교가 안돼지^^; 방송에서 젤 중요한곤 시청률이니깐,0
더럽히고 싶다,2
장동민이랑 사귀었었다니 장동민은 능력자네,0
유인나하고 결혼 하면 처제가 아이유가 되는구나 ^^♥♥^^,0
여자들 우정 오래못간다. 친해졌을때 없으면 못살거처럼 붙어다니다가 한번 틀어지면 평생 쌩까고 산다,1
거 꼴리게도 생겼네..,2
다리가 너므 예뻐요 인나씨.....핰,0
유애나인가? 아이유 팬클럽 말한거아니였어?? 왠 뮤즈....,0
유인나 솔직히 강남성형녀라 싫어했는데 도깨비 연기보고 인정,0
아이유인나의 결혼을 응원합니다........,0
극혐,2
인기도 없고 연기도 못하면서 아이유한테 빨대 꼽네........,2
늙어서 관심없다,2
근데 여자애들은 친구한테 저정도로 친하면 우정 이상의 감정 느끼지 않냐?? 여태까지 봐 온 여자애들 보면 희한하게 베프? 정도되는 애들끼리 그 이상의 감정을 지닌거처럼 보일 때 ㅈㄴ 많음. 특히 지 베프 결혼하면 애들 이상해지더라고.,1
이와중에난 도깨비몇달찍고 1년쉬어도 머고사는데지장없구나를보고부러움ㅜㅜ,0
노래 잘하는 아이유에 기대는 성형여자?,2
너도은혁이가 이상형이냐?,1
난 진짜 유인나 성형전 얼굴보고 깜!!!!!!!!!!!짝 놀랐다도깨비때문에 떴지만 오히려 도깨비때문에 과거 얼굴알게됐음,2
계속 쭉 미아시절의 아이유였으면 이만큼 친해질 수 있었을까 의문도 든다.. 유인나가 먼저 들이댔을듯,1
고만좀 묻어가라......,2
둘이 좋은 사이인건 알겠지만 아이유에 묻어가진 말자~,1
이순신 할때 작은 언니 아닌가? 큰언니는 누구였지?,0
알고보니 둘이 연애한다고 한다면 ㅋㅋ,0
그냥 팬들 마음아프지않게 둘이 사겨라,1
지금 이 기사가 카패라면 이여자 성형전 얼굴 올리고 싶다 ㅋㅋ,2
둘이 밤에 서로 딜x가지고 놀꺼같다,2
유인나 나는펫 프로그램 나왔을때 생각나네 정작 여자출연자인 지 언니는 안보이고 동생으로 나온 얘만 급떴지,0
간만네 아이유 노래 들으면 포근해지지만 간만에 유인나보면 성형전얼굴밖에 안보임,1
결혼하면 말짱 꽝,0
얘는 친구 아이유 얘기 없음 기사가 업나봐 ㅋㅋㅋㅋ라다오나해라그냥 .,2
둘다이상해,1
둘이 하는거 보고 싶다^^,1
"끼리끼리 노는 법. 유유상종, 약국이 멜론의 딸 아이유 친하게 지내는 방법,유인나 이용. 아이유 콘에 지디 보내기.피쳐링만 해도 음원 1위 .거기에 홍보만 해줘도 1위하는 가식유 클라스. 음원독과점이 넘 심하더라.",2
유인나 언니... 연기연습 좀 하세요 !!! 연기가 왜 그모양이에요?,2
아침에 일어나자마자 멍한 상태로 이 기사 봤는데 아이유가 유아인으로 보여서 깜짝 놀랐다가 한참 후 깨달았다. 이러면 무슨 치료 받아야 하나,1
'뮤즈' 라는 단어 썼다가 종현 트페미한테 개처맞았는데.... 지금은 트페미들 가만히있냐?,2
성형전 가관이던데ㅋㅋ,1
얼굴에 그만좀 손대면 좋겠다.,1
유유상종이 이래서 성립이되는군,1
뭐 둘다 비호라,2
적당히하시지,1
연예인 성형당연하고 이뻐지는 건 너무 좋은 일이지만....유인나는 정말 남자가 여자로 변한 케이스....,2
누나 몸은진짜 어우야..,1
강남 성형녀는 맞잖아~,2
아이유에겐 없는게 있지 이 누님에겐,1
난 유인나랑 절대 결혼하지 않겠다,0
유인나 직업 아이유 친한언니,1
아 역시 무서운 유인나,1
훈훈해요 누르긴 했다만..잘하면 둘이 커밍아웃이라도 할기세....;;,1
서로 알몸 봤겠지.,1
종현이도 이런 친구 한명 있었더라면...,0
만나본 적도 없지만 유인나는 보들보들하고 향긋한 향기가 날거같다. 몇 안되는 완전호감 연예인!,0
서른여섯이라니 ㅋㅋ 유인나때문에 아이유가 연애못하는거다,0
이러다 둘이 결혼하는거 아니야?,1
원숭이같이 생김,1
몸매봐라 코퓌뽱,1
소녀시대 써니 성형전이랑 비슷함,1
나는 펫인가 거기서 처음 유인나봤는데 청하인가 기 센 여자 아는 동생으로 나왔는데 일반인치고 이쁘다 했는데 잘 컸네 ㅋ 그때 트레이닝복이 잘 어울렸던걸로 기억하는데 맞나,0
나도 그렇게 생각한 친구가 있었지!! 틀어지는건 한순간이더라~~ 서로 잘해야한다,0
둘이 방송 제외하고 1주일에 몇번 보는지 궁금함 진짜 친구라면 일주일에 한두번은 연락하고 지낼텐데,0
그래서 아이유가 스타가 아니였다면??,1
효리네민박 아이유대신 유인나가자!,0
예쁘지 않아,1
인남 재방보고프다,0
유인나 예쁜건 맞는데~~ 아이유가 진짜 칭찬잘하는듯~~설리도 그렇게 칭찬하더니~~ 다시 태어나면 설리얼굴로 태어나구싶다구 그랬나? 그랬는데,0
유인나한테 자꾸 아이유얘기 물어보면짜증날듯,0
베프면 아이유 연기하는거 좀 말려,1
야무지게생겼다 ㅎㅎ 송혜교랑 동갑이네 인나,1
나는 펫 시즌1에서 청미 친구로 나왔을 때 진짜 이쁘다고 생각했는데 그게 벌써 10년이 넘었네 ㄷㄷㄷ,0
킹오브파이터98 모바일 “아이유인나” 길드원임...길장이 엄청 팬인가봄...길드명을 이걸로 바꾸네..유인나 사랑한다❤️~ㅋㅋㅋ,0
라디오좀 해주세요ㅠㅠㅠㅠ,0
나이가 서른일곱인데 빨리 좋으신 분 만나서 연애하고 결혼하시면 좋겠다,0
"아이유와 유인나 11살 차이나지만 유인나 목소리가 예쁘지..김성령,유인영도 목소리 들으면 예쁜목소리와 외모 ..유인나랑 있으면 심심하지 않고 재미있을듯..",0
유디 돌아와주세요..ㅜㅜ 아이유가 생방에 쳐들어오고 이랬던거 또보고싶다,0
1987 보러가야지 이번주에는,0
곧 천만인데 물어보면 본사람 찾기 힘듦ㅋ,1
"cg는 인정. 재미와 감동, 연기는 1987.",0
"애들영화 어른들 볼영화 못됨.제기럴 시간,돈 아깝다.",1
나두 강철비가 더 잼나던데~,1
1987보세요,0
1987이 백배는 슬프고 재밌어요.. 꼭 보세요,0
"그냥 줄거리, 개연성 생각 안하고 CG만 보면 훌륭한 영화니까ㅋㅋㅋ",0
관객수준이 저질이니저질영화가 판치네,2
"진지와 코믹, 감동, 기존의 한국영화에서 보기힘든 그런느낌 받았는데. 사람들이 왜 많이 보는지 이해가 되는 작품.",1
1987도 꼭보세요 엔딩크레딧 다올라갈때까지 못일어납니다,0
유치하다 별로다,2
씨지에 억지감동코드 버무린 다음에 유치한 유머코드 설정까지 해운대 7번방에 이어 한국관객 수준을 농락한 또하나의 천만영화,2
적당히 볼만한 영화긴하지만 천만은 아닌데 운이좋았지,1
난 1987이 내용적인 측면에서는 압승했다고 본다,0
"어제 영화봤는데 이거 내가 한시간 반동안 지옥 다녀온 수준,, 핵 노잼",2
"신과함께가 1987과 강철비보다 잘나가니까 배아파하는 좌좀들 왜 이렇게 많냐,너무 티나는거 아니냐,여기 신과함께 기사에까지 들어와 안티짓 하는거 너무 속보인다.여러분 좌좀들 1987과 강철비 더 재미있다며 그것 보라고하는 좌좀들 물타기 글들에 속지마세요.같은 시기에 개봉한 신과함께가 1000만을 내다보니까 배알이 꼴려하는 좌좀들 글이니까 속지마세요,1000만이 선댁한 영화는 그 이유가 다 있는겁니다.",2
영화초딩들 많아,1
택시운전 변호인 같은 영화가 천만인게 존나 우낀거 아니냐 솔까?,1
회오리 장면은 좀 유치했는데김동욱연기가 최고였음 영화관에서 운적이 없는데수화로 엄마한테 울면서 얘기하는데눈물나서 죽는줄....이계기로김동욱이라는 배우가 더잘됐으면 한다김동욱때문에 한번만 볼거두번 세번도 보고싶음,0
좀 어색하고 지루한부분도 있었지만 그래도재밌던데ㅎ,0
저는 재밌게 잘봤어요 CG도 생각보다 퀄리티있었고 내용도좋았구,0
영화 끝나고 나오면서 아줌마들 재미없다고 하더라 20대중반인나는 친구랑 둘이 눈물다빼고 진짜 재밋게봣다 감동도있고 .. 엄마한테 더더 잘해야겟다고 더 착하게 살아야겟다고 느꼇다 다들 연기 너무 잘하더라ㅠㅠ,0
신파? 이 따위 악플은 믿지마시라. 웹툰과 다른 망자? 또 다른 장르이고 새로운 창작물이다. 세계 어디에 내놔도 손색없는 우리만의 영화임에 분명하다.,0
1987이 더 감동적이고 잼나더라 신과함께 천만까지 갈 급은 아닌데.... 독점지리네,1
극장표값이 곧 오를거같다. 최저임금 오르고. 물가오르고.,1
좌좀영화 택시운전사 꼭 발라버리길,2
