comments,label
"백종원때문에 요즘 인간들은 저렴하고 질좋은 음식만 찾는다 ㅉㅉ 세상에 어떻게 좋은것,원하는것만 할수있냐? 비싸고 좀 덜좋은것도 먹을줄알아야지",2
백종원씨 어려운사람들을위해서 정말 좋은일많이하시네요,0
사장들을 보면 대부분 노인들이다.....예고편에도 나왓듯이 왜 뒤져 보냐고 하는 모습도 있었다...변하렬고 하는 마음보다는 자기가 하고 있는게 다 맞다고 생각하는 꼰대근성 가진 사장들들 많아서 쉽게 바귀지 않을듯,1
진짜 보면서 희망이 불끈솟고 용기나는 수상수감이었음. 당신 멋쟁얘,0
백종원이 함께 도와주면 될것같다..이번에도 무지기대됨^^,0
장사를 똑바로 혀 입만살은 소상공인분들아 맛없고 서비스가 안좋으니 안가는거 아니겟냐?,2
와진짜대단하시네요쉴틈도없이체력잘관리하세요건강버릴까걱정되네요,0
돈도 많고 뭐가 아쉬워서 야유 받고 도 계속 방송 나올까...,2
백종원님~~정말 대단하세요~~~이번 강식당에서도 능력대단대단~~,0
백종원 가게라고 다 가서 먹는것처럼 상권 죽인다고 ㅈㄹ하는 것들 뇌에 돌 들었냐?맛있고친절하고 위생좋음 백종원 가게가 옆에 있어도 그 가게가 말 좀 되는 소리들 해라,1
보기드믄 어른 백선생님 지금처럼이 시대에 따뜻한 어른으로 정직하고 바른 어른으로 남아주세요♡♡고맙습니다소유진님과 온가족이 건강하시길 기도합니다.,0
골목 살리면 나중에 더 세만 올라서 힘들어지는 거 모르냐.,1
백종원 참 훌륭한 사람이다,0
병주고 약준다라는말이 딱여기서 쓰이네,1
잘되서 골목상권 살아났음 좋겠네요 근데 진짜 백종원 본인은 힘든 프로그램일듯 선뜻 하겠다고 한게 대단,0
세정이 파이팅!!♡♡♡,0
괜히 망할만해서 망한애들 외식업계 살려주느라 고생많으시네요ㅠ,0
자기 사업으로 엄청 번창한 사람인데 이렇게 골목동네식당도 번창할수있도록 프로그램에도 나와주고 노하우도 전수해주고 참 보기좋네,0
백종원 사장님 가게에서 강식당 오므라이스 팔아주세요 진짜 먹어보고싶어요,0
백종원씨 대단한것 같아요 쉽지 않을 텐데 열심히 하시는 모습 보기 좋습니다 화이팅,0
백종원님 레시피 잘 보고 있어요!,0
이제 셰프들 다 죽었는데 백아재는 계속 보고싶다,0
ㅋㅋㅋㅋㅋ 이미지 좋단다 다 촬영이니컨셉이다 여튼 알바 충충들 ㅉㅉㅉ,1
백종원때문에 값비싸고 질안좋은 소상공인들이 살아남을수가 없다 왜 꼭 음식이 저렴하고 품질좋아야하지?? 정부에서 저런 가게들 규제시켜라,1
ㅍㅌ도 못하니까 골목상권이 망한거지 누가보면 백종원때메 다망한지 알겠네,1
장사꾼 ㅡㅡ 프렌차이즈 엄청깔면서 무슨 골목상권을 살려 어불성설이구만 새마을 식당 가봣더니 돼지 앞다리살 대패같은거 1인분 9천원하드만 가격이나 싸게 파소,1
"금전적으로 힘든건 같은데, 최소한으로 먹고는 살수 있게 방송 2개 정도는 허용해줍시다.",1
음악은 까지마라,1
죄송한데 국내에 Mc몽보다 재능있는 아티스트가 있긴하나요? 있으면 한 명이라도 말해보세요...,1
그놈의군대는!작작들좀해라..연예인도 사람이다!싫어하면 안보면되지 먼말들이 많냐!일반인들이 였어바..그냥 덤덤하게 넘어갈수있는 일이지..참 할짓들없다 남 헐뜯기나 하고 ㅉㅉ,1
노래만 좋음 됐지ㅋㅋ그래 너도 방송 나와라 예비군 6년차 행님으로써 허락한다,0
무죄라는데 왜까냐? 군대 갔다 오거나 앞으로 갈게 억울해? ㅋㅋ남자 댓글 비중 보소 열폭중ㅋ,1
8년이면 용서하자몽이 자신도 얼마나 힘들었을까.....,0
엠시몽 응원합니다.. 법원에서 무죄나왔는데.. ㅠ,0
"바보들아, 기사 검색이나 하고 댓글 쳐달아라. 작년 6월에 이미 한동철과 엠씨몽 만나서 믹나 음원 제공하고 출연하는것으로 합의본 것으로 안다. 시청률 올리려고 발악하는게 아니란 뜻이다. 바보들아. 엠씨몽 재작년 음원 내서 차트1위한 것으로 아는데ㅋㅋㅋㅋ 누가 그 음원 샀더라?????",2
솔직히 Mc몽만한 아티스트 근 5년간 나타난 적이 없어서 매우 아쉬웠는데 mc몽 믿고 기다린 10만명의 팬들은 정말 가뭄에 단비같은 소식이네요. 어서 우리 곁으로 돌아와줘요~~! 어서요 인디언 인디언 보이~~!,0
MC몽 보고싶었는데 홧팅하세요~!!,0
신정환도 나왔는디~~~ 좋아요,0
김치년들은 지들도 군대 안간데 화내는 이유가ㅡ,2
그래도 군대 갔다온거 맞지? 갔다왔으면 됬다 용서해 줄께,1
볼이유가 생겻네^^ 재미없게 생각햇는데 본방사수!,0
노래는 좋을듯 ㅋㅋ,0
어서와~ 보고싶었네. 몽 맘추스리고 꼭 재기해라. 1박2일 원년이 보고싶네. 힘내라.,0
이제 그만 용서하자. 엠씨몽 옵하도 반성 할만큼했고 그정도면 됬다. 않그러냐?,1
이야.. 네이버 악플러들 여기들다모여있네인성보소 ㅋㅋㅋㅋ 못되 처먹었네들 ㅋㅋㅋ니들은 애국심이넘쳐서 군대가서 젓 뺑이들까셨어요?적당히좀해라 가식덩어리에 인생패배자들아 ㅋㅋㅋㅋ,2
니들은 글로 사람을 죽이는구나죽어야만 그때나 후회하고 돌아보는 한심한것들사람은 살아야할거아냐근데 또 악플질이네 이것들니네 할거나 하고 살아 악플그만달고꼭 인생 할짓없는것들이 남 인생에 관여하지그냥 나오면 나오는구나 하믄되지지이랄드 가지가지다 진짜,2
엠시몽 힘내세요...저는 당신의 결백함을 믿어요...당신의 재능을 이렇게 썩히기는 안타까워요 이제라도 열심히 활동하세요..,0
기대합니다. 앞으로의 길을 응원합니다,0
좋아요~~~~,0
어떻게 변했는지 궁금은 하다.,0
2~30대 할짓없냨ㅋㅋㅋ 이럴시간에 일이나해라...군대 다녀온거 티네지 말구..ㅈ2ㄴ찌질하네,1
아니 사람 죽인것도 아니고 징하다 진짜!!!!,0
형이 군대현역으로 갔다왔다 근데 충분히 욕하고그럴수있어 근데 무죄받고 지금 8년이라는시간이지났잔아 좀그만해라 지겹다 이제좀 엠씨몽나오게해주자 도박 성범죄도 나오는판에,1
음악성은 인정한다 ㄹㅇ 악마의 재능 그러나 방송에는 안나왔으면,0
이왕 방송 시작한거 mc몽만 나오는 진짜 사나이 하자 ㅋㅋㅋㅋ,1
노래 나오면 다 듣자나?? ㅎㅎㅎㅎ웃긴다 정말 ㅋㅋ,0
역시 문재인 대통령 시대가 오니 연예계도 진보된 느낌이네요. 지금 같은 세상에 군대를 강요하는건 억지입니다. 엠씨몽 화이팅,0
아니 무죄판결이 나왔는데 왜케들 지.랄들이냐? 나도 예비군 8년차지만 씨몽이형 컴백 기다린다! 1박2일에서의 예능감 다시 보고싶다!!,0
한남충들 여기서도 부들부들하노? 군대 간게 니들이 못나서 간건데 왜 애꿎은 몽이한테 화를 내냐?ㅋㅋㅋㅋ 이게 뭐 보상심리 어쩌고냐? 어이가 없내 ㅋㅋㅋ,2
그리고 엠씨몽도 독실한 기독교 집안에서 자란분이며 양심가지고 행동하시는 분인데 이유업이 무조건 욕하고 헐뜯는 사람들 보면 참 안됫다는 생각이 듭니다 가정교육부터 밧고 욕을하길 바랍니다,1
아니 8년이면 자숙 충분히했다 ㅡㅡ 그만좀 욕해라 배뎃심각하게 다 욕하고잇네.. 니들때매 우울증 자살 이런게 나오는거야 그만좀하자,1
응원합니다! 엠씨몽^^저런 쓰레기같은 댓글 보더라도 너무 신경쓰지말고활동 잘 하시길 바래요!!,0
야이색끼들아 도박하고 별에별짓해도 겨나오는데 왜 씨몽이한테만 ㅈ롤이야~~~~¡,2
한국은 병역문제라면 개처럼 물고 쥐뜯고 좀저럼 놓지를 않는구나...ㅡ.ㅡ 참 답답하다...본인은.갔는데 재는왜안가? 요런심보?이제그만좀하고 좀 관대해지자구요~~믹스나인안보는데 mc몽.오래간만에 반갑겠다~~챙겨봐야겠네,0
아니 구지 MC몽이 나와야 되는 이유가 뭐임 ?,1
나와서 쓸데없이 무게잡고 조언이랍시고 독설하고 표정 개 띠꺼울듯... ㅋㅋㅋㅋㅋㅋㅋ 욕받이잼,1
"반갑다 mc몽~~ 이제부터라도 자주 자주 얼굴볼수있었음 좋겠다. 그정도면 충분하다고 생각함~ 싫어하는 사람은 안보면 되는거구 그리워 하는사람은 환영해주면 될것을 .., 마니마니 보고팟음~힘내고 파이팅!",0
근데 무죄받았는데 왜 욕먹는거임?,0
"효진이, 민석이, 승준이, 병관이, 동훈이, 세윤이 ~ 꽃길만 걷자 ~!!!",0
JTBC는 이 나라를 사분오열만드는게 목적.,1
이제 그만 받아줍시다. 자숙 할만큼 했다고 봅니다. 유승준과 비교하는것은 너무 심하고 이보다 더한 놈들도 활개치며 살고있어요.,0
몽님 좋은 노래 들려주세요~^^,0
무죄 판결도 받았고 오랜기간 자숙했고 이젠 보고 싶다,0
"MC몽 그리웠어요주변에 시선은 너무 신경쓰지말고,이왕 나오는거 기회다 생각하고,열심히 해보세요~본인이 간절히 원하고,노력하면 현실도 바꿀수 있어요앞으로는 착한일 많이하고 열심히 사세요~^^노래도 다 좋아했었는데 이번에도 좋은노래 내주세요 기대할게요~^^",0
부정적인 의견이 참 많네.. 그래도 노래도 잼있었고 8년이믄 대단하지 그정도믄 할만치 했다,0
MC몽 어떤모습일까?ㅋㅋ기대되,0
엠씨몽 진짜 악마의재능... 군대가 참... 아까운 케이스,0
고만좀 해라 mc몽이 죄가 있다면욕하는 기생충 이 존재하는게 죄다...,1
솔직히 MC몽 노래 다 좋다. 그런데 대한민국이 분단국가라서 병역에 참 민감한듯.여자는 군대도 안가고 다른나라들은 군대는 직업군인 이다 MC몽 화이팅!,0
믿고 기다린 10만명의 팬들을 위해 멋진 모습으로 다시 돌아와줘요~~!!,0
죄송한데 국내에 Mc몽보다 재능있는 아티스트가 있긴하나요? 있으면 한 명이라도 말해보세요... 여러분들은 지금 국내 원탑의 아티스트를 곧 보실 기회를 얻으신겁니다. 개이득!!,0
엠씨몽의 복귀를 환영합니다. 어차피 군대가는 사람들 많은데 굳이 좋은 음악만들어 케이팝 시장넓혀 국위선양해 국민들 삶과 복지증진시켜주는 연예인들도 굳이 군대를 보내야하는지 의문입니다.,0
털어서 먼지 안나는 사람없다;이젠 용서해도 될듯,0
몽이형 보고싶었어요,0
MC몽~^^ 기대됨 ^^안보던 프로인데 꼭 볼게요 응원합니다.,0
Mc몽씨 노래 그립네요^^ 빨리 컴백해서 귀 호강하는 노래 부탁해요ㅎㅎ 잘못은 했지만 이제는 방송 나와서 활동해도된다고 생각합니다 ㅎㅎ 비난댓글은 좀있게지만 그정돈 각오하시고 좋은 노래 부탁해요,0
난 응원한다사람이 평생 한번 실수없이 사는사람있다면 그게 사람인가한번 실수하면 매장 당해야하는가기회를 한번더 줄수 있는거아닌가그의 실수가 잘못인건 알지만그의 노래로인해 많은 사람이 행복했거늘난 응원한다,0
어찌됬든..보고싶네요..,0
난 몽이 좋던데. .팬입니다^^기운 내세요~,0
병역비리 무혐의 된지가 언젠데 아직도 그얘기야..아무튼 한국은 아직도 조선시대야..,1
유아인 용서해주고 얘는 못해줄게뭐있냐?자숙기간도 그나마 제일 길었네,0
솔직히 Mc몽만한 아티스트 근 5년간 나타난 적이 없어서 매우 아쉬웠는데 mc몽 믿고 기다린 10만명의 팬들은 정말 가뭄에 단비같은 소식이네요. 어서 우리 곁으로 돌아와줘요~~! 어서요 인디언 인디언 보이~~!,0
더나쁜짓 했던 연예인들도 다 티비나와서 난린데 왜 엠씨몽한테만 난리들이지.엠씨몽이 잘햇다는건 아닌데 노래나오면 좋다고 다 듣고 1위하면서 티비나오는꼴은 죽어도못보는건뭔지.이사람한테만 그러지말고 더쓰레기짓하는 연예인들한테나 관심좀 갖길,
환영합니다. 그 동안의 마음고생한거 훌훌 털어 버리고 열심히 활동해주세여!!!,0
어자피 민중은 개돼지입니다 적당히 짓다가 끝날것이니 너무 염려하지 않으셔도 됩니다...,1
복귀 응원합니다!!,0
JTBC에서 하는거니까 우리 빡대갈 좌좀들은 그냥 보겠네 ㅋㅋㅋㅋ,2
"입치몽도 나오면, 신정환도 나올 수 있다. 뭐라 하지마라",1
꼴보기싫다,1
군부심 있는 한국 남자들 몰리겠네ㅋㅋ군대 갔다온게 머라도 되는양 갑질하는 것들ㅋㅋ군대는 무슨수를 쓰든 안 가는게 현명한거지 갔다온것들이 호구~^^,1
꼭 군대갔다왔는 놈들이 어쩌고 저쩌고 니라도 군대 빠질수있었음 안갔을거 아니야,2
문재앙의 지령이 jtbc에 내려졌다 자신을 놀린 국민들 엿먹이기 프로젝트! 곧 고영욱도 방송 나오고 노무현때 잘나가던 연예인들 출격대기!,2
이분이 아예 활동을 안했다고 보기에는.... 이름 다른거 쓰면서 음악활동은 꾸준히 해왔는데 왜 굳이 욕들을거 알면서 나오는지....,0
범죄자들 다 활동하고 유아인 서인국 이런 애들 되도 않는걸로 군대 면제 받고 버젓이 활동할려고 하는중이고 그것뿐만 아니라 연예인들중에 군대 안간 애들이 수두룩함 그러니 씨몽이도 이쯤 됬으면 활동해도됨 당당하게 활동해라,0
mc몽 힘내요! 비난하는 사람이 많지만 몽이를 사랑하는 사람도 있다는거!!! 꼭 잊지말기~,0
Mc몽 사랑한다 힘내라 너의 노래는 나에게 희망을 준다,0
MC몽팬이였어가지고구런지몰라도 응원합니다 잘됬으면 좋겠다,0
반가워요 엠씨몽,0
노래 듣고 싶어요~ 환영합니다~!!,0
오늘다시느끼지만 댓글이사람하나죽이는구나 엠씨몽을옹호하는건아니지만 8년이면 충분한자숙기간이고 악플을다는사람들은 왜그리쉽게말을 내뱉는지 자기가족이어도 똑같이할까?,1
몽아~~~ 기다렸다,0
몽아~~ 보고싶었다,0
엠씨몽씨 힘내세요 용기내세요 ~~!! 마약하고 도박한 사람들도 다복귀하고 방송하는데 뭘망설여요 피할수없으면 즐기래요 엠씨몽씨 노래정말좋아합니다 방송에서 자주보고싶습니다 화이팅 !!,0
이제 용서해주자,0
엠씨몽은 천재다 확실히...좋은 음악으로 보답하세요,0
환영해요 형님 ㅎㅎ,0
응원합니다!,0
죄값의 몇배는 더 치뤘다 이제 그만 돌아와라,0
"댓글에 긍정적인 댓글만 볼수있는 기능 있음 좋겠다.. 남동생 둘 있는 누나로서 대한민국 남자들이 군대를 가서 2년간 상상못할 시간을 보내야 한다는 게 너무 마음아프고, 안갈수있음 다 안갔으면 좋겠고 가야하면 여자도 가는게 맞다고 생각한다. 근데 엠씨몽이 군대를 안가려고 일부러 그랬든 그게 아니든 8년이다 사람이 살아있으면 먹고 살아야지 우리도 알게모르게 많은 죄를 지으며 사는데, 저사람만 저렇게 죽일놈 취급하는 건 정말 아니다. 욕하는 사람도 힘들텐데, 용서는 아니더라도 그냥 그럴수있었겠다 이해해주면 좋겠다",0
더 나쁜짓 한 연예인들 수두룩함~~!!이젠 받아들일수 있어요~~자숙기간 충분함,0
난 솔직히 승준이형 무대 보고싶어..난 군대갔다왔지만 승준이형 한국 왔으면ㅜㅜ,0
엑소랑 빅스 서로 친한건 좋은데 엑소팬 입장에선 거리 좀 뒀으면 좋겠네요. 왜 공부도 비슷한 수준끼리 어울려야 더 잘한다고 하잖아요 아이돌 세계도 마찬가지라고 봐요...이왕이면 빅뱅같이 급되는 애들이랑 놀아야 서로 자극받도 발전도 하는데 솔직히 빅스는 좀.....,1
얘네들 가끔보면 여성적이거나 넘 중성적이라서.. 끌리진 않던데..쩝,1
새앨범 내주자니 제작비가 아깝고.. 그냥 빌미삼아서 활동시키는거넼ㅋㅋㅋ 역주행이라고 좋아하는 가수나 팬이나 애잔. .,1
무대 약간 니뽄 느낌나서 평창가기엔 별로...,1
그래봤자 엑소가 훨씬멋있고 잘나가거든요;;,1
"스타벅스 년들 난리났네. 그래봤자 빕스 알바만도 못한 것들인데, 불쌍하고 애잔하다.",1
얘네도 더유닛 믹스나인같은데 나가서 재기 노려봐야할듯.. 응원할게..,0
빅스가 평창무대 나갈 급이되나? 빅스가 나가면 틴탑 몬엑 보이프렌드 이런애들 다 나가도될듯,1
빕스보단 아웃백,0
응 관심없어,0
얼마나 대단한가 해서 네캐 봤더니 고작 조회수 70만 ㅋㅋㅋㅋㅋㅋ 강다니엘 프듀 직캠 조회수는 1100만이야 이것들아 ㅋㅋ,1
"대체 어느 부분을 봐야 놀라야하는거지 노래도 별로 게다가 립싱크 차라리 전에 나왔던 기적,저주인형,대다나다너가 훨씬 퀄리티 높고 더 좋다",1
애네들은 피지컬은다지리는데 잘생긴애가 1명말곤 없음..,1
빅스 보단 EXO ♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡♥♥♡,0
홍빈인가하는애말고는 볼거없드만,1
빅스는 무슨 사이비종교같음 맹목적으로 좋아하고 덕질하는애들같음 팬들이넘좋아해서 좋겠수다 아주~~군대안가냐 이넘들아,1
계집년들 댓글 달지마라. 여자들이 건방지게,2
애네가 방탄보다 낳나요???,1
혹시나 음방 대기실에서 우리 강다니엘을 마주친다면 선배라고 건방지게 모가지 빳빳히 세우지말고 90도로 폴더 인사 부탁드립니다 종이쪼가리만도 못한 인기 가지고 우리 다니엘한테 선배행세 했다가는 1700만 강다니엘 팬들이 가만 있지 않겠습니다,1
빠순이들아 이거 안 좋은거야. 음악방송은 최소한으로 하는게 좋은거임. 무대비용 다 소속사에서 충당하는데,1
박스도아니고 빅스는 뭐냐 ..,1
그냥 가수접고 인생도 접으세요 빅스분들,1
친구가 짜꾸 vixx래요. 영어를 모르나? 친절하게 bigs 라고 말해줌 소학교 영어실력인 제 친구 제가 바른 팀명 일러줬습니다!,1
빅스개그맨임,1
그정도 아니던데 또 우르르ㅋㅋㅋㅋㅋㅋ에휴,1
평창에 저 컨셉을 방탄이 하는것도 괜찮을듯?,1
빅스 약빨 다 된듯. 악플이랑 짬뽕으로 다 섞여도 1위기사 못되네 ㅠㅠ 2000도 힘들군,2
홍빈 발연기,1
시계 춤추고 있네 음치면 연습해,2
"엑소랑 데뷔년도 같던데 엑소는 6년동안 쿼드러플 달성, 서가대 5년 연속 대상, 잠실콘서트 7만명 동원 등등 할동안 대체 뭐하셨나요??",1
처음보는 애들인데 이번에 데뷔한 애들인가여?,1
빅스보단 빅쇼가 어울린듯,1
EXID는 챠트 역주행하고 강제소환됐다지만.. 얘네는 진짜 뭐냨ㅋㅋ 챠트인부터 좀 하고 언플햌ㅋㅋㅋ,1
노래구리던데,1
"대단한건 알겠는데 평창은 오바지 않냐. 사람들이 인천아시안게임처럼 연예인, 아이돌 잔치될까봐 개회식때 가수 안부른다는데 폐회식 나오는 것도 불만이더만",2
저도 인상깊게 봤는데 노래가 딘이랑 너무 비슷하던데… 나만 느꼈나… 듣자마자 딘 노래 암쏘리~ 하는 부분 오버랩되던데,1
강제소환이 아니라 강제은퇴 아닌가요?,1
또 누군가 밀어주는건가? 갑자기 언플 지리는데...이상한데.,1
조만해체각 누군디?,1
뷔가 박수치는거 보려고 조회수 폭등한거 아닌가?,1
이렇게해서라도 빅스를 띄워주고 싶은 눈물나는 빅스걸들의 정치질 ㅠㅠ 그래도 2000 안되네 ㅠㅠ 내가 악플로 채워줄게~~~ 무급알바 열심히하고 빨리 느그부모돈 빨아서 빅스한테 오지게 바쳐야 뜨지 ㅠㅠ,1
와꾸가 안되잖아 와꾸가,1
헐 얼마나 잘하길레 ㅋㅋㅋ 트와이스 레드벨벳이 갑인디....,1
나는 빅스 팬인데 이 무대는 별로였음,1
처음 보는 애들인데?,1
빅스 퇴뮬인데 ㅋㅋ몬개소리야 ㅋㅋㅋ방탄 무대가조회수 압도인데 ㅋㅋㅋ추천수돜ㅋ,1
솔까 퍼포먼스 방탄 아래급임...,1
느그들 왜 엑소따라해,1
이런거 볼시간에 워너원 직캠 한개를 더 보세요 그게 더 값짐,1
엥 활동끝낫던걸 왜해??? 요청이얼마나많아야함?..,1
주작이 너무 심한데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
도원경이 저중 누군진 모르겟지만 강제로 하기싫은거 억지로 하지마강제소환이라니 아닌건 못하겟다고 딱 해라,1
빅스 망했어,1
실상은 극성 팬들의 댓글 복붙과 조회수 광클,1
강다니엘 해피투게더 에서 보다니 넘 좋아~ 선배님들과의 케미 기대할께요~,0
라비 솔로도 계속 망하고 그룹도 안되서 곧 해체하겠다고 생각했는데 ㅋㅋㅋㅋㅋ 1년 계약연장했네,1
그래봤자 보이그룹원탑은 엑소..,1
누구지? 신인인가?,1
애초에 여기에 역대급이다 해놓고 안본사람이 반일거면서 뭐 참나..ㅋㅋ,1
하기싫은거 억지로 강제로 소환하면 되니?강제로 하는건 나쁜거야 나오지 말도록,1
근데 여전히 멜론 900위에도 없던데,1
박스인줄... 아트박스,1
뭔 평창을 가ㅋㅋㅋ 또 강남스타일추고 아이돌들나와서 욕ㅈㄴ게 먹겠구만ㅋㅋ 노답,1
진짜 허접하던데..급조한 동양컨샙에 뭐 저런게 있지 했음. 팬심 빼고 보세요 진짜 인기없는대엔 이유가있어요,1
망했는데 왜 다시 기어나옴,1
도원경으로 상받은적이나 있나..,1
아무도몰라서 신곡인줄알았던....ㅋㅋ,1
별반응없엇는데 팬들끼리 쿵짝쿵짝ㅋㄱㅋㄱㅋㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ,1
얘들은 이별공식할때가 제일좋았어,0
잘생긴 애들 하나도 없고 노래 잘하는 애들 한명도 없음 진짜...,1
응? 다른가수들의 조회수가 더 높던데,1
동양스럽긴 하다만 다른동양스럽다 일본이나 중국이생각난다. 우리나라스럽게 도련님들처럼 갓을쓰고 꽹가리치면서 비보이까지 더하고 그런컨셉가봐라 조회수폭발나지ㅋㅋㅋ,0
팀 이름 이 빡스가 뭐냐 빡스가,1
방탄이라는 기지배들 닮은애들 보당 낫다,1
현실은 멜론 지니 벅스 엠넷 네이버등 어디에도 100위안에 없다. 2일동안 네케 장악했는데도...그냥 보기만하지 돌려줄 팬이 없단것,1
어차피 방탄 미만잡,1
어쩌라구 빅스팬인가 ㅡㅡ,1
와..빅스는또누구냐?듣보개많다진짴ㅋㅋ개나소나아이돌ㅋㅋㅋㅋ,1
주작질 좀 적당히해라,1
방탄보단 별로던데,1
긱스는 아는데 빅스는 또 머냐 처음 들어보는 거 같은데 듣보잡인가보네,1
너무오바하지않았으면^^; 방탄도아니고,1
암요 얘네도 둘째가라면 서러울 이루미나티 아이돌인데 안챙겨줄리가 없지 고럼고럼 상반기 엑방원 챙기느라 소홀한 빅스 뒤늦게 보상해주는가보다,1
딱 30대 언냐들 집에서 낄낄대며 좋아할 예능,1
지겹다 먹방,1
관종 나영석이는 왜 자꾸 티비에 면상을 들이미냐.,1
나영석은 1박2일 관두고 더 성공했는데 강호동은 1박2일 나오고는 개폭망 아직도 회복이 완전히 안되고 있다.,1
"보건증 등록했냐? 똥꼬나 질에 면봉 집어 넣엇냐? 개 더럽네 , 똥 닥은 손으로 음식하는거냐?",2
시청자 우롱하지말고 영업종료해라,1
노잼이라. 영업종료. 피디 눈치 존나 빠름. ㅋㅋ,1
직딩인데 350만원 파는데 순이익이 10만원 밖에 안남나요? 장사 왜 해요? 직장생활이 낫네요 저 월급 400정돈데 일 20만원정도 되네요,1
꼴보기싫은 강정은하고 이토토 이두 범죄자들좀 들어내라,2
